Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgysFIkTr9hhUgZHRs94AaABAg,@premprasad3511,,1,aFnuBSuGYfc,0,0,2023-09-14T19:53:18Z,Are you gping to work thru the remaining chapters?,2023-09-14T19:53:18Z
UgzaEfeEDSsNy0fFIot4AaABAg,@umarsaboor6881,,1,aFnuBSuGYfc,0,0,2023-06-28T14:05:11Z,❤,2023-06-28T14:05:11Z
UgxC-B1TrpdTe_N0tSJ4AaABAg,@scarysticks66,,1,aFnuBSuGYfc,0,0,2023-06-26T23:33:48Z,Do you think that is it worth to learn TensorFlow instead PyTorch?,2023-06-26T23:33:48Z
UgzP10MEwJw4cYdmXJV4AaABAg,@Gia_Java,,1,aFnuBSuGYfc,0,0,2022-11-18T20:26:31Z,Perfect 👍,2022-11-18T20:26:31Z
Ugyx1eLbWj1lIFurt8d4AaABAg,@joshmijm4855,,1,aFnuBSuGYfc,0,0,2022-06-12T07:43:30Z,"Got a very good clarity. Thanks a lot. I also read the book, but didn&#39;t get this much clarity. It really helped a lot...",2022-06-12T07:43:30Z
UgyslI9Q4SxAya4DyP54AaABAg,@prabhavkaula9697,,1,aFnuBSuGYfc,0,0,2022-05-26T18:43:23Z,Waiting for the deep generative models chapter,2022-05-26T18:43:23Z
UgyfKFuotDr8Kqgh4Jd4AaABAg,@sartajhajam6028,,1,aFnuBSuGYfc,0,0,2022-05-26T15:50:29Z,As always its fun learning from you  .Is there a schedule for these videos . Are you going to cover complete book ?,2022-05-26T15:50:29Z
Ugw02N4-cPmXJ8Nc2HZ4AaABAg,@gunaraj6947,,1,aFnuBSuGYfc,0,0,2022-05-25T02:29:34Z,Thanks for the need for the hour of the content.. expecting more videos on deep learning,2022-05-25T02:29:34Z
UgwRVabk1MzzrD1HAy54AaABAg,@prabhavkaula9697,,1,aFnuBSuGYfc,0,0,2022-05-24T18:59:01Z,"Thank you for the deep learning series <br>I wanted to know if you would recommend the Deep Learning with PyTorch (book by Eli Stevens, Luca Antiga, and Thomas Viehmann)?",2022-05-24T18:59:01Z
Ugyl2DcFYWEk6MmpCOZ4AaABAg,@1potdish271,,1,aFnuBSuGYfc,0,4,2022-05-23T14:02:37Z,"Why did you choose this book? Because of Author, or it uses Keras or something else? Will you cover all the chapters or you will concentrate on NLP tasks? You will cover only theory or code as well? By the way, I learned a lot from your video. Thanks for contributing.",2022-05-23T14:04:44Z
UgyoRSfIo7L1MAfpMNd4AaABAg,@koolipanirajan3417,,1,aFnuBSuGYfc,0,0,2022-05-23T13:54:46Z,Finally...,2022-05-23T13:54:46Z
Ugz76qj69QCje-MrQO94AaABAg,@karmanyaupadhyay3012,,1,aFnuBSuGYfc,0,1,2022-05-23T13:48:20Z,"Sir, im a 12th grader in Pune looking to learn deep learning and neural networks to make a project on identifying skin cancer in dogs. Please assist me on where I should begin to reach my goal of making this project.",2022-05-23T13:48:20Z
UgyAGAb1DoPpYzddKYR4AaABAg,@floopybits8037,,1,aFnuBSuGYfc,0,0,2022-05-23T12:57:57Z,Just started reading the 2nd edition few days back this came as a cherry on top 😇😇,2022-05-23T12:57:57Z
Ugwua4ow8avAZS8mEpx4AaABAg,@harshavardhanasrinivasan3125,,1,aFnuBSuGYfc,0,0,2022-05-23T12:24:55Z,Manning publications,2022-05-23T12:24:55Z
UgzGYm4_xms8diBpGXh4AaABAg,@geekyprogrammer4831,,1,aFnuBSuGYfc,0,0,2022-05-23T10:53:40Z,WELCOME BACK MY MAN!!!,2022-05-23T10:53:40Z
UgwmjUZ75VkQs_87T_d4AaABAg,@thepresistence5935,,1,aFnuBSuGYfc,2,2,2022-05-23T10:45:32Z,"Hey bro, why not DEEP LEARNING by LAN GOODFELLOW. People told, this is one of the best book in the world. I am planning to start this book. I think you already have this book, I have seen your linkedin post 🤗🤗<br><br>Book name: Adaptive Computation and Machine Learning Series:",2022-05-23T10:46:25Z
UgyH3vkQpa-c_ysa6QF4AaABAg,@ambujsingh3844,,1,aFnuBSuGYfc,0,1,2022-05-23T10:32:45Z,Wow...finally...,2022-05-23T10:32:45Z
UgwDWouD5V_6NZfc0xl4AaABAg,@kanavsharma2609,,1,aFnuBSuGYfc,0,1,2022-05-23T10:28:08Z,Thanks for coming back 💪💪,2022-05-23T10:29:21Z
UgzObKD5Ki0DhoZJ3D14AaABAg,@adityabhatt04,,1,aFnuBSuGYfc,1,6,2022-05-23T09:57:28Z,I love learning from you! I request you to complete the series please.,2022-05-23T09:57:28Z
UgztWmxwzOIMBUkJWrt4AaABAg,@wingsoftechnology5302,,1,aFnuBSuGYfc,0,7,2022-05-23T09:49:52Z,Thank you so.......much Sir<br>Please keep uploading next parts daily....if possible 🙏🙏🙏🙏,2022-05-23T09:49:52Z
Ugz_8ZRrqJC-HH0EVjp4AaABAg,@MisalRaj,,1,aFnuBSuGYfc,0,0,2022-05-23T09:30:37Z,Thank you :),2022-05-23T09:30:37Z
UgypI66SU-okXvFu_714AaABAg,@bhooshan25,,1,RdH8zd07u2E,0,1,2022-05-08T15:41:29Z,could you also provide the code for demand forecasting.,2022-05-08T15:41:29Z
Ugw1viX5HjkiD78Jp_J4AaABAg,@arthurlucena9898,,1,7ZTarg4QYR4,0,0,2023-09-20T17:05:34Z,That was a ruge class! Congratulations!!,2023-09-20T17:05:34Z
Ugz9U22VoyCGuUcG7Il4AaABAg,@dhanashreeyadav8220,,1,7ZTarg4QYR4,0,0,2023-05-02T08:59:42Z,"May I please know, how to calculate the value of y, when you used concatinate function?",2023-05-02T08:59:42Z
UgwPFy4K8mKAj87CxKR4AaABAg,@thealgorithm7633,,1,7ZTarg4QYR4,0,0,2023-01-10T05:45:58Z,"How will be the Mapping matrix if we have 3 levels of hierarchy? Do we need to put intermediate nodes as well as columns? or it will always be the lowest-level nodes only?<br><br>Example :<br>total -&gt; {cat1, cat2}<br><br>        cat1 -&gt; {sub_cat1, sub_cat2, sub_cat3}<br>                      sub_cat1 - &gt; {c1, c2}<br>                      sub_cat2 - &gt; {c3, c4}<br>                      sub_cat3 - &gt; {c5, c6}<br><br>        cat2 -&gt; {sub_cat4, sub_cat5}<br>                      sub_cat4 --&gt; {c7, c8}<br>                       sub_cat5 --&gt; {c9, c10}<br><br>For example - In the above scenario, do we have to keep all the lower levels (c1,c2,c3,c4,c5,c6,c7,c8,c9,c10) as columns in the Mapping matrix? or do I  need to keep sub_catogory nodes (sub_cat1, sub_cat2, sub_cat3,sub_cat4, sub_cat5) as well in columns of Mapping matrix ?<br><br>Please Help on this...",2023-01-10T05:45:58Z
UgxxNaLXIPnAMg-Bogx4AaABAg,@kunalsatpute8379,,1,7ZTarg4QYR4,1,0,2022-07-28T20:51:38Z,"This was really nice tutorial, just few thing more which I hoping would be included in next series<br>1. Few products have high demand so they generate higher volume but on the other hand there are products which has intermittent demand with lower volumes, scale of volume are different so how do we tackle? log transformation?<br>2. As this is time series I hope the granularities shouldn’t have any empty timeframe? any imputation technique?<br>3. how to deal with negative sales (may be return orders) should we remove it?<br>4. There might be scenarios where particular store give higher discount from his own margin leading to higher sales volume? how to treat this outlier scenarios?<br>5. Also would like to see the effect for macro economic variables, distribution, brandtracker, penetration numbers, covid etc<br>6. at last which features are highly important for generating sales",2022-07-28T20:51:38Z
UgwCfK7jaygWdBPRlsd4AaABAg,@abhishekkrthakur,,1,-YbjplaYKJ4,0,1,2021-09-12T10:28:46Z,"Connect to Luca: <a href=""https://www.linkedin.com/in/lmassaron/"">https://www.linkedin.com/in/lmassaron/</a><br>Link to slides: <a href=""https://bit.ly/3A4vjiS"">https://bit.ly/3A4vjiS</a>",2021-09-12T10:28:46Z
UgzUb-SceJU79UGBJlJ4AaABAg,@sophiez7952,,1,-YbjplaYKJ4,1,1,2021-09-15T05:04:45Z,whether i can apply this method under pytorch???,2021-09-15T05:04:45Z
UgyL4S482pjsrwBAciZ4AaABAg,@sophiez7952,,1,-YbjplaYKJ4,0,1,2021-09-15T01:49:10Z,"I AM A BEGINNER, AND I MISSED YOUR CERTIFICATE, BUT I WATCHED your episode EACH TIME, IT IS REALLY WONDERFUL FROM CODING TO THE KNOWLEDGE OF PACKAGES, I KNOW THAT 10 YEARS I CAN BECOME a MASTER, I AM STILL STRIVING FOR excellent! i hope that you can organize more programs for our beginners! i have many questions about python, so thx!!!",2021-09-15T01:49:10Z
UgxTF2HFko4eCF2axkR4AaABAg,@sophiez7952,,1,-YbjplaYKJ4,2,0,2021-09-15T01:42:24Z,WHAT DOES IT MEAN &#39;WRAPPER&#39;?,2021-09-15T01:42:24Z
UgytycQ2EoQUSw_kqXJ4AaABAg,@arkadia3375,,1,-YbjplaYKJ4,0,1,2021-09-11T12:58:58Z,"I&#39;m after the &quot;30 Days of ML competition&quot; kaggle, at the beginning of my adventure with ML, during the competition the materials provided by Abhishek were very helpful. Now I have just finished watching this material and I am very impressed, thank you so much Luca Massaron for all the knowledge provided.",2021-09-11T12:58:58Z
UgzitSgsIecpd9GY5ex4AaABAg,@salmananwaar1327,,1,-YbjplaYKJ4,0,1,2021-09-10T19:12:52Z,Interesting,2021-09-10T19:12:52Z
UgyBwxrTML3pOFs1c414AaABAg,@kalidsherefuddin,,1,-YbjplaYKJ4,0,0,2021-09-10T18:47:47Z,Please please help me,2021-09-10T18:47:47Z
UgxkNgJorhhac-R42ql4AaABAg,@lucamassaron608,,1,-YbjplaYKJ4,0,3,2021-09-10T18:06:18Z,"Presentation : <a href=""https://bit.ly/3A4vjiS"">https://bit.ly/3A4vjiS</a><br>Code for XBoost optimization: <a href=""https://www.kaggle.com/lucamassaron/hacking-bayesian-optimization"">https://www.kaggle.com/lucamassaron/hacking-bayesian-optimization</a><br>Code for DNN optimization: <a href=""https://www.kaggle.com/lucamassaron/hacking-bayesian-optimization-for-dnns"">https://www.kaggle.com/lucamassaron/hacking-bayesian-optimization-for-dnns</a><br><br>My contacts: <a href=""https://www.linkedin.com/in/lmassaron/"">https://www.linkedin.com/in/lmassaron/</a>",2021-09-10T18:06:18Z
Ugw2owXy_PnU3yIJj-t4AaABAg,@kalidsherefuddin,,1,-YbjplaYKJ4,0,1,2021-09-10T18:02:32Z,Ok thanks,2021-09-10T18:02:32Z
